Price,brand,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,Touchscreen,rating
70090,5,0,1,2,2,0,1,1,0,0,0,0,2
49990,0,0,1,0,1,0,1,1,0,0,1,0,2
55490,6,0,1,2,1,0,1,1,0,0,0,0,1
97990,4,0,1,2,1,2,1,1,0,0,0,1,3
54990,0,0,1,5,1,0,1,1,0,0,2,0,2
59990,1,0,1,2,1,0,1,1,0,0,0,0,2
53990,1,0,1,2,1,0,1,1,0,0,0,0,2
66999,4,0,1,2,2,0,1,1,0,0,0,0,2
60990,2,0,1,2,1,2,1,1,0,0,0,0,2
47990,0,0,1,0,1,0,1,1,0,0,0,0,2
59999,4,0,1,2,1,0,1,1,0,1,0,0,2
79990,5,0,1,0,2,0,1,1,0,0,2,0,1
63990,0,0,1,0,1,0,1,1,0,0,2,0,1
63990,4,0,1,2,1,0,1,1,0,0,0,0,2
59990,0,0,1,2,2,0,1,1,0,0,0,0,1
55990,1,0,1,2,1,0,1,1,0,0,0,0,1
63990,4,0,1,2,1,0,1,1,0,0,0,0,2
69490,5,0,1,2,2,0,1,1,0,0,1,0,1
89390,5,0,1,2,2,0,1,1,0,0,0,1,1
74990,0,0,1,2,1,2,1,1,0,0,0,0,1
64990,1,0,1,2,1,0,1,1,0,0,0,1,2
66490,1,0,1,0,1,0,1,1,0,0,2,0,2
89702,5,0,1,2,2,0,1,1,0,0,1,0,1
70990,1,0,1,2,2,0,1,1,0,0,1,0,2
58990,0,0,1,2,2,0,1,1,0,0,0,1,1
57500,1,0,1,0,1,0,1,1,0,0,1,0,1
79990,5,0,1,2,1,0,1,1,0,0,1,1,2
56541,6,0,1,0,1,0,1,1,0,0,0,0,2
59990,0,0,1,2,2,0,1,1,0,0,0,0,1
64990,1,0,1,2,2,0,1,1,0,0,0,0,2
61290,5,0,1,2,1,0,1,1,0,0,0,0,1
54990,1,0,1,2,1,0,1,1,0,0,0,0,2
59990,1,0,1,2,1,0,1,1,0,0,0,0,2
84990,0,0,1,2,1,0,1,1,0,1,3,0,3
72500,4,0,1,2,1,0,1,1,0,0,0,0,2
59990,1,0,1,2,1,0,1,1,0,0,2,0,1
87990,1,0,1,2,1,0,1,1,0,0,0,1,2
57990,4,0,1,2,1,0,1,1,0,0,0,0,2
69490,5,0,1,2,1,0,1,1,0,0,0,0,2
68990,1,0,1,2,1,0,1,1,0,0,0,1,2
77990,1,0,1,2,1,0,1,1,0,1,0,0,2
105990,0,0,1,2,1,2,1,1,0,0,0,1,2
79990,6,0,1,2,1,2,1,1,0,0,0,0,1
55490,5,0,1,2,1,0,1,1,0,0,0,0,2
69990,1,0,1,2,1,0,1,1,0,0,0,0,2
84990,0,0,1,2,1,0,1,1,0,0,0,1,2
59990,5,0,1,2,1,0,1,1,0,0,0,0,1
111890,5,0,1,0,1,2,1,1,0,0,0,0,1
65990,5,0,1,2,1,0,1,1,0,0,1,0,2
72990,0,0,1,2,1,2,1,1,0,1,0,0,2
71090,5,0,1,2,1,0,1,1,0,0,0,0,2
74990,6,0,1,2,1,0,1,1,0,0,2,0,1
79990,0,0,1,0,1,5,1,1,0,0,0,0,2
55490,6,0,1,2,1,0,1,1,0,0,0,0,2
66490,5,0,1,2,1,0,1,1,0,0,1,0,2
53400,0,0,1,2,1,0,1,1,0,0,0,0,2
74500,5,0,1,2,1,0,1,1,0,0,0,1,2
114990,5,0,1,2,1,2,1,1,0,0,0,0,1
61990,5,0,1,2,1,0,1,1,0,0,1,0,2
74990,6,0,1,2,1,0,1,1,0,0,2,0,1
56490,6,0,1,0,1,0,1,1,0,0,0,0,2
147000,1,0,1,0,1,0,1,1,0,0,0,0,1
55990,1,0,1,2,1,0,1,1,0,0,0,0,2
77990,4,0,1,2,1,0,1,1,0,0,2,0,1
106490,4,0,1,0,1,0,1,1,0,0,2,0,2
70990,1,0,1,2,1,0,1,1,0,1,1,0,2
64990,1,0,1,2,1,0,1,1,0,0,0,0,2
57990,2,0,1,2,1,0,1,1,0,0,0,0,1
64990,0,0,1,0,1,0,1,1,0,0,2,0,2
54990,6,0,1,0,1,0,1,1,0,0,0,0,2
111999,4,0,1,2,1,2,1,1,0,0,0,1,1
70798,1,0,1,0,1,2,1,1,0,0,1,0,2
59990,1,0,1,5,1,0,1,1,0,0,2,0,1
99500,2,0,1,4,1,0,1,1,0,0,2,0,1
55990,4,0,1,0,1,0,1,1,0,0,0,0,2
72990,0,0,1,4,1,5,1,1,0,0,0,0,2
64990,2,0,1,4,1,4,1,1,0,0,0,0,1
57990,0,0,1,2,1,0,1,1,0,0,0,0,1
76990,4,0,1,2,1,0,1,1,0,0,1,1,2
62998,1,0,1,2,1,0,1,1,0,0,0,0,2
77990,5,0,1,2,1,0,1,1,0,0,0,1,2
114990,4,0,1,0,1,0,1,1,0,0,0,1,2
65990,5,0,1,0,1,0,1,1,0,0,1,0,1
88990,5,0,1,2,1,0,1,1,0,0,1,0,1
113590,1,0,1,0,1,0,1,1,0,0,0,0,1
73990,0,0,1,2,1,2,1,1,0,0,0,1,2
61000,4,0,1,2,1,0,1,1,0,0,0,0,2
99990,0,0,1,2,1,2,1,1,0,0,0,1,2
67990,1,0,1,2,1,0,1,1,0,0,0,0,2
70799,5,0,1,2,1,0,1,1,0,0,0,1,2
65990,1,0,1,2,1,0,1,1,0,0,0,0,2
53690,0,0,1,4,1,0,1,1,0,0,0,0,2
55990,6,0,1,2,1,0,1,1,0,0,0,0,1
53190,0,0,1,2,1,0,1,1,0,0,0,0,2
58999,1,0,1,0,1,0,1,1,0,1,1,0,2
71990,5,0,1,2,1,0,1,1,0,0,1,0,1
82000,4,0,1,2,1,0,1,1,0,1,2,0,1
84990,0,0,1,2,1,2,1,1,0,0,0,0,1
89998,1,0,1,2,1,0,1,1,0,0,1,0,1
99990,0,0,1,2,1,2,1,1,0,0,0,1,1
69899,1,0,1,0,1,0,1,1,0,0,2,0,2
79990,5,0,1,0,1,0,1,1,0,0,2,0,1
76300,5,0,1,0,1,0,1,1,0,0,2,0,2
55999,1,0,1,0,1,0,1,1,0,0,0,0,1
72900,5,0,1,2,1,0,1,1,0,0,0,0,1
73990,5,0,1,2,1,0,1,1,0,0,0,1,2
84990,0,0,1,2,1,1,1,1,0,0,0,0,1
73519,5,0,1,2,1,0,1,1,0,1,1,0,1
126000,4,0,1,0,1,0,1,1,0,0,0,1,3
88990,0,0,1,2,1,0,1,1,0,0,3,0,1
114999,4,0,1,2,1,0,1,1,0,0,0,1,1
82990,5,0,1,2,1,0,1,1,0,0,1,1,2
109999,2,0,1,2,1,0,1,1,0,0,0,1,1
82990,1,0,1,2,1,0,1,1,0,0,0,1,1
79990,5,0,1,2,1,0,1,1,0,0,1,1,2
114990,0,0,1,2,1,2,1,1,0,0,0,1,1
129999,4,0,1,2,1,2,1,1,0,0,0,1,1
149990,6,0,1,4,1,3,1,1,0,1,3,0,2
71290,5,0,1,2,1,0,1,1,0,0,1,0,1
79500,5,0,1,0,1,0,1,1,0,0,0,0,2
82990,5,0,1,0,1,0,1,1,0,0,1,0,1
70980,5,0,1,2,1,0,1,1,0,0,1,0,2
94000,4,0,1,2,1,0,1,1,0,1,0,0,1
82990,5,0,1,2,1,0,1,1,0,0,1,1,2
79990,6,0,1,2,1,2,1,1,0,0,0,0,2
85990,0,0,1,4,1,0,1,1,0,0,0,0,1
86990,0,0,1,0,1,0,1,1,0,0,1,0,1
105990,0,0,1,0,1,5,1,1,0,0,1,0,3
84990,0,0,1,0,1,5,1,1,0,0,0,0,1
59999,1,0,1,4,1,0,1,1,0,0,1,0,2
91999,1,0,1,2,1,0,1,1,0,0,0,0,2
78900,5,0,1,2,1,0,1,1,0,0,0,1,1
132790,0,0,1,0,1,5,1,1,0,0,0,0,1
60990,1,0,1,2,1,0,1,1,0,0,2,0,1
65556,3,0,1,3,1,0,1,1,0,0,0,0,1
70190,5,0,1,2,2,0,1,1,0,0,0,0,1
79590,5,0,1,2,1,0,1,1,0,0,1,1,1
76990,0,0,1,2,1,0,1,1,0,0,2,0,1
44990,3,0,1,4,1,0,1,1,0,0,0,0,1
84990,0,0,1,2,1,0,1,1,0,0,0,1,1
86999,1,0,1,0,1,0,1,1,0,0,1,1,2
